,newold,stock,sleeps,length,price,location,horsepower
809,New,Stock # 2179123,6,25 ft 5 in,159995.0,"Katy, TX",188
810,New,Stock # 2179140,6,25 ft 5 in,159995.0,"Las Vegas, NV",188
811,New,Stock # 2179188,4,25 ft 5 in,159995.0,"Vacaville, CA",188
812,New,Stock # 2179189,4,25 ft 5 in,159995.0,"Vacaville, CA",188
813,New,Stock # 2195482,5,25 ft 2 in,158457.0,"Colton, CA",
814,New,Stock # 2207498,2,19 ft 7 in,159957.0,"Katy, TX",188
815,New,Stock # 1992781,5,33 ft 9 in,158857.0,"Las Vegas, NV",
816,New,Stock # 1993942,2,19 ft 7 in,159995.0,"Greenwood, IN",188
817,New,Stock # 2169959,2,19 ft 7 in,159995.0,"Fresno, CA",188
818,New,Stock # 2152281,2,19 ft 7 in,159957.0,"Idaho Falls, ID",188
819,New,Stock # 2170311,2,19 ft 7 in,159957.0,"Tulsa, OK",188
820,New,Stock # 2024124,5,25 ft 8 in,159457.0,"Roseville, CA",188
821,New,Stock # 2104777,5,25 ft 8 in,159657.0,"Akron, OH",188
822,New,Stock # 2024144,5,25 ft 8 in,154057.0,"Vacaville, CA",
823,New,Stock # 2159883,5,24 ft 9 in,154057.0,"London, KY",
824,New,Stock # 2195483,5,25 ft 2 in,155857.0,"Colton, CA",
825,New,Stock # 2014892  VIN:GCE24FB0018508,5,25 ft 8 in,155157.0,"Hillsboro, OR",
826,New,Stock # 2024145,5,24 ft 9 in,156157.0,"Vacaville, CA",
